4,14
5,4
8,9
12,15
20,11
31,8
31,16
33,18
34,2
37,19
45,4
50,2
61,3
67,12
69,4
70,6
72,11
77,4
80,8
80,14
80,15
92,0
92,2
92,13
92,20
94,4
95,13
107,10
112,1
112,5
113,0
115,5
118,2
123,1
128,2
135,12
137,6
139,7
143,6
144,1
160,1
162,6
173,7
179,7
181,15
182,3
184,4
186,14
187,7
188,4
190,10
192,0
192,1
196,14
209,10
210,15
213,5
226,18
239,9
240,7
241,10
243,5
244,11
248,7
253,1
253,8
254,15
256,1
262,15
264,11
270,18
271,5
271,9
271,19
284,20
287,2
287,16
293,2
293,18
298,9
299,4
299,5
300,12
303,7
307,15
318,1
320,7
324,4
324,5
324,15
327,15
328,0
328,11
335,2
335,3
336,11
343,10
346,11
347,8
352,11
357,6
358,12
358,18
361,13
364,10
365,14
373,11
375,0
381,0
381,10
392,0
394,9
395,2
398,0
398,10
403,11
407,8
411,15
413,2
415,4
417,23
427,19
430,2
437,8
437,15
449,8
450,2
456,2
459,18
461,6
467,7
468,11
468,14
477,0
477,1
478,9
479,4
481,0
481,7
485,18
485,22
497,2
499,6
500,4
503,1
507,18
508,8
512,8
512,9
514,5
515,0
517,0
520,7
523,13
524,7
526,0
527,6
